Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Space_heating,Appliances,Lighting
46.0,50.1,48.5,41.8,77.69,1209.176,5180.8,0.0,546.0,4926.0,9299.218666666666,10031.732066666667,147.76986666666667
45.1,49.6,46.9,41.9,82.96,3390.46,14398.6,2033.0,4187.0,13341.0,23440.573333333334,30155.42883333333,1248.6151333333332
45.2,45.5,45.4,42.3,88.93,2203.826,9247.2,1063.0,2621.0,14018.0,12358.348666666667,23062.602666666666,710.2187666666666
39.8,45.6,42.9,35.9,76.11,1666.194,7094.0,839.0,7602.0,6197.0,8389.658,17536.1625,1304.7611
41.7,42.1,41.9,40.2,93.54,2225.748,9313.0,0.0,2648.0,14063.0,13201.096,22755.8072,462.5816
45.1,48.2,47.0,43.4,87.42,1716.624,7238.6,1765.0,2623.0,10421.0,8973.708,18356.3029,854.8015999999999
43.8,46.6,44.9,43.2,93.71,2341.338,9897.0,3151.0,350.0,11131.0,15567.226,21506.4333,934.6843
56.1,56.3,56.2,49.0,76.88,4773.386,20200.4,2669.0,425.0,14726.0,38865.628666666664,36625.58466666667,1014.6003666666667
46.7,54.7,50.4,44.5,80.98,2550.012,11002.2,1703.0,5082.0,6891.0,18146.644,21679.5424,1249.7777999999998
48.0,49.8,48.9,43.9,82.68,2743.12,11450.2,6620.0,1962.0,5795.0,19663.63333333333,22414.371733333333,2031.2687333333333
46.2,50.5,48.7,41.5,76.15,3934.11,16341.0,1086.0,2533.0,14979.0,29720.87,32818.8038,843.5278999999999
48.8,51.0,50.0,43.5,78.42,1528.76,6505.2,0.0,314.0,6976.0,11556.426666666666,12985.316466666667,133.71346666666668
45.1,45.3,45.2,42.6,90.52,2072.638,8764.2,2207.0,4419.0,9176.0,11987.059333333333,20568.330133333333,1231.4372333333333
45.9,54.7,50.9,42.1,72.57,3174.392,13350.8,1252.0,5162.0,11329.0,22254.550666666666,27836.957866666668,1182.8676666666665
43.1,46.2,44.3,37.6,77.28,2789.302,11924.2,3072.0,7891.0,12480.0,14787.327333333333,28877.036333333333,1935.8626333333332
46.5,51.7,48.9,43.4,81.46,3494.196,14687.4,0.0,347.0,6502.0,32120.392,23065.5651,304.1994
46.6,47.7,47.2,42.5,83.89,2749.004,11400.4,0.0,352.0,5880.0,24777.734666666667,18708.862866666666,245.86606666666665
38.1,38.3,38.2,35.0,88.05,1269.236,5348.2,0.0,348.0,6562.0,9093.718666666666,11351.646466666667,118.61726666666667
47.3,51.1,49.3,47.7,94.29,1014.054,4340.2,0.0,344.0,4765.0,7501.578,8781.0851,105.8123
48.4,48.7,48.5,45.4,88.87,3259.412,13648.6,1051.0,7597.0,10896.0,21999.15066666667,29234.87416666667,1463.7918666666665
